Date,Open,High,Low,Close,Adj Close,Volume
11/19/1992,0.515625,0.53125,0.515625,0.520089,0.430544,240542400
11/20/1992,0.522321,0.524554,0.508929,0.513393,0.425001,155489600
11/23/1992,0.504464,0.508929,0.502232,0.506696,0.419458,152723200
11/24/1992,0.508929,0.513393,0.504464,0.513393,0.425001,156822400
11/25/1992,0.508929,0.511161,0.5,0.504464,0.41761,117342400
11/27/1992,0.504464,0.511161,0.502232,0.504464,0.41761,47196800
11/30/1992,0.502232,0.513393,0.496652,0.513393,0.425906,160507200
12/1/1992,0.511161,0.526786,0.506696,0.520089,0.431461,130144000
12/2/1992,0.520089,0.522321,0.508929,0.511161,0.424054,97776000
12/3/1992,0.504464,0.514509,0.501116,0.513393,0.425906,187588800
12/4/1992,0.511161,0.513393,0.504464,0.507813,0.421276,95782400
12/7/1992,0.506696,0.515625,0.506696,0.515625,0.427757,144222400
12/8/1992,0.515625,0.524554,0.515625,0.518973,0.430535,196638400
12/9/1992,0.515625,0.517857,0.511161,0.514509,0.426831,159409600
12/10/1992,0.511161,0.514509,0.504464,0.511161,0.424054,140190400
12/11/1992,0.511161,0.520089,0.511161,0.513393,0.425906,120187200
12/14/1992,0.513393,0.515625,0.506696,0.511161,0.424054,110510400
12/15/1992,0.506696,0.508929,0.495536,0.503348,0.417572,182537600
12/16/1992,0.502232,0.508929,0.486607,0.491071,0.407387,225926400
12/17/1992,0.493304,0.513393,0.493304,0.507813,0.421276,233867200
12/18/1992,0.513393,0.529018,0.511161,0.520089,0.431461,235457600
12/21/1992,0.520089,0.535714,0.517857,0.532366,0.441645,256065600
12/22/1992,0.533482,0.546875,0.533482,0.541295,0.449053,280168000
12/23/1992,0.537946,0.540179,0.529018,0.533482,0.442571,112336000
12/24/1992,0.535714,0.535714,0.526786,0.526786,0.437016,45964800
12/28/1992,0.529018,0.533482,0.529018,0.53125,0.440719,70448000
12/29/1992,0.53125,0.542411,0.53125,0.532366,0.441645,116278400
12/30/1992,0.533482,0.533482,0.524554,0.524554,0.435165,100587200
12/31/1992,0.524554,0.535714,0.524554,0.533482,0.442571,92232000
1/4/1993,0.53125,0.535714,0.515625,0.520089,0.431461,129136000
1/5/1993,0.517857,0.529018,0.511161,0.529018,0.438868,186256000
1/6/1993,0.542411,0.553571,0.540179,0.551339,0.457385,281400000
1/7/1993,0.551339,0.558036,0.541295,0.544643,0.45183,272137600
1/8/1993,0.542411,0.5625,0.533482,0.555804,0.461089,320936000
1/11/1993,0.553571,0.574777,0.551339,0.572545,0.474977,273728000
1/12/1993,0.560268,0.569196,0.549107,0.549107,0.455534,346158400
1/13/1993,0.549107,0.571429,0.546875,0.566964,0.470348,199640000
1/14/1993,0.571429,0.582589,0.569196,0.580357,0.481458,367808000
1/15/1993,0.544643,0.555804,0.535714,0.537946,0.446275,902630400
1/18/1993,0.53125,0.535714,0.517857,0.53125,0.440719,333636800
1/19/1993,0.533482,0.540179,0.529018,0.533482,0.442571,274041600
1/20/1993,0.533482,0.537946,0.53125,0.535714,0.444423,158737600
1/21/1993,0.533482,0.537946,0.524554,0.535714,0.444423,184419200
1/22/1993,0.537946,0.537946,0.526786,0.53125,0.440719,146944000
1/25/1993,0.529018,0.540179,0.529018,0.535714,0.444423,202272000
1/26/1993,0.540179,0.553571,0.540179,0.542411,0.449979,285622400
1/27/1993,0.544643,0.551339,0.524554,0.537946,0.446275,226620800
1/28/1993,0.535714,0.537946,0.529018,0.534598,0.443497,184038400
1/29/1993,0.537946,0.546875,0.526786,0.53125,0.440719,266100800
2/1/1993,0.529018,0.546875,0.529018,0.546875,0.453682,240553600
2/2/1993,0.542411,0.549107,0.537946,0.537946,0.446275,182336000
2/3/1993,0.544643,0.544643,0.522321,0.535714,0.444423,264185600
2/4/1993,0.535714,0.537946,0.526786,0.53125,0.440719,208152000
2/5/1993,0.529018,0.53125,0.502232,0.511161,0.424054,367617600
2/8/1993,0.508929,0.513393,0.495536,0.504464,0.418498,281075200
2/9/1993,0.508929,0.512277,0.504464,0.507813,0.421276,238660800
2/10/1993,0.508929,0.511161,0.491071,0.497768,0.412943,268284800
2/11/1993,0.497768,0.502232,0.491071,0.492188,0.408314,168268800
2/12/1993,0.491071,0.495536,0.479911,0.481027,0.399925,275396800
2/16/1993,0.477679,0.477679,0.459821,0.473214,0.39343,407736000
2/17/1993,0.475446,0.482143,0.464286,0.481027,0.399925,249580800
2/18/1993,0.491071,0.493304,0.477679,0.491071,0.408276,280123200
2/19/1993,0.493304,0.495536,0.488839,0.491071,0.408276,177800000
2/22/1993,0.491071,0.5,0.488839,0.492188,0.409205,98761600
2/23/1993,0.491071,0.493304,0.482143,0.484375,0.402709,194073600
2/24/1993,0.465402,0.481027,0.465402,0.478795,0.39807,286563200
2/25/1993,0.475446,0.488839,0.475446,0.488839,0.40642,167227200
2/26/1993,0.484375,0.484375,0.466518,0.473214,0.39343,294884800
3/1/1993,0.473214,0.477679,0.470982,0.475446,0.395285,119302400
3/2/1993,0.473214,0.486607,0.473214,0.484375,0.402709,147694400
3/3/1993,0.482143,0.491071,0.475446,0.487723,0.405492,202697600
3/4/1993,0.486607,0.493304,0.477679,0.491071,0.408276,188339200
3/5/1993,0.488839,0.497768,0.488839,0.491071,0.408276,111619200
3/8/1993,0.491071,0.506696,0.491071,0.504464,0.419411,177004800
3/9/1993,0.504464,0.513393,0.504464,0.506696,0.421266,154828800
3/10/1993,0.506696,0.511161,0.5,0.506696,0.421266,132496000
3/11/1993,0.508929,0.511161,0.502232,0.507813,0.422195,144614400
3/12/1993,0.506696,0.506696,0.495536,0.502232,0.417555,126694400
3/15/1993,0.5,0.511161,0.49442,0.508929,0.423123,136035200
3/16/1993,0.511161,0.515625,0.504464,0.504464,0.419411,101281600
3/17/1993,0.504464,0.508929,0.491071,0.492188,0.409205,176220800
3/18/1993,0.491071,0.496652,0.486607,0.486607,0.404565,106187200
